Individual,Eating Habits,Height (ft),Weight (lbs),Length (ft),Killer rating,Intelligence,Age (millions of yrs),Image
Pachycephalosaurus,Herbivore,19.7,6614,26.2,2,7,76,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/pachycephalosaurus-fighting-for-dominance-kurt-miller.jpg
Tyrannosaurus Rex,Carnivore,18.4,13227,39.3,9,9,67,https://images.ctfassets.net/cnu0m8re1exe/wRKl0chaUVLGEz0oSmLZi/00ddc64ff3a278d1855e74978cd17451/shutterstock_2139765345.jpg?fm=jpg&fl=progressive&w=660&h=433&fit=fill
Barosaurus,Herbivore,85.3,8819,85.3,3,2,156,https://dinoanimals.com/wp-content/uploads/2020/07/Barosaurus-13.jpg
Heterodontosaurus,Herbivore,1.6,22,3.9,1,5,208,https://chasmosaurs.com/wp-content/uploads/2020/01/damir-g-martin-finalisms-insta-artst-2scaled2.jpg
Suchomimus,Carnivore,13.1,11023,39.3,8,7,100,https://images.fineartamerica.com/images/artworkimages/mediumlarge/3/suchomimus-in-a-sunlit-forest-daniel-eskridge.jpg
Pachyrhinosaurus,Herbivore,9.8,8000,23,2,4,70,https://cdnb.artstation.com/p/assets/images/images/034/333/351/large/cindy-raggo-pachyc1.jpg?1612023851
Compsognathus,Carnivore,2.3,6.6,4.6,5,7,145,https://render.fineartamerica.com/images/images-profile-flow/400/images-medium-large-5/a-carnivorous-compsognathus-dinosaur-mark-stevenson.jpg
Iguanodon,Herbivore,16.4,9920,32.8,3,6,135,https://render.fineartamerica.com/images/rendered/default/print/6/8/break/images/artworkimages/medium/3/iguanodon-daniel-eskridge.jpg
Pentaceratops,Herbivore,9.8,17636,26.2,3,5,75,https://images.fineartamerica.com/images-medium-large/pentaceratops-dinosaur-artwork-walter-myers.jpg
Coelophysis,Carnivore,6.6,59.5,9.8,4,7,225,https://render.fineartamerica.com/images/images-profile-flow/400/images/artworkimages/mediumlarge/2/coelophysis-looking-at-the-full-moon-daniel-eskridge.jpg
Velociraptor,Carnivore,3.3,33,6.6,9,10,85,https://images.fineartamerica.com/images-medium-large-5/velociraptors-prowling-the-shoreline-daniel-eskridge.jpg
